# German display text<TAB>English display text. Technical IDs and saved option values remain stable.
Abbrechen	Cancel
Nutzen	Use
Zum Wechseln anklicken	Click to change
3D-Ansicht · Ziehen: Drehen · Rad: Zoom	3D view · Drag to rotate · Scroll to zoom
Ziehen: 360°  •  Mausrad: Zoom	Drag: 360°  •  Scroll: zoom
3D-Animation	3D animation
Stehen	Idle
Laufen	Walk
Rennen	Run
Klassisch	Classic
Schmal	Slim
DEINS	YOURS
Mein Cape	My cape
Dein aktives Cape	Your active cape
Cape-Studio	Cape studio
Cape veröffentlichen	Publish cape
Cape löschen	Delete cape
Cape melden	Report cape
Cape-Datei hier ablegen	Drop cape file here
Cape-Name	Cape name
Cape-Seiten (6 Flächen)	Cape sides (6 faces)
Hauptseite (Außen)	Outer side
Innenseite (Körper)	Inner side
Wähle ein Cape oder teile dein eigenes mit der EzClient-Community.	Choose a cape or share your own with the EzClient community.
Das Cape erscheint im Home-Skin und wird beim Spielstart verwendet.	The cape appears on your home-page skin and is used when the game launches.
Das Cape wird nach „Bestätigen & hochladen“ aktiviert und im Spiel sichtbar.	The cape is activated and becomes visible in game after you select “Confirm & upload”.
Bestätigen & hochladen	Confirm & upload
Wird hochgeladen …	Uploading…
Gib deinem Cape einen Namen. Es wird unter deinem Minecraft-Namen veröffentlicht.	Name your cape. It will be published under your Minecraft name.
Mindestens 3, maximal 48 Zeichen	Between 3 and 48 characters
/48 Zeichen	/48 characters
z. B. MeinCape	e.g. MyCape
Grund der Meldung	Reason for report
Beschreibe bitte kurz, warum dieses Cape gemeldet wird.	Briefly describe why you are reporting this cape.
Melden	Report
Dieser Vorgang kann nicht rückgängig gemacht werden.	This action cannot be undone.
Möchtest du das Cape \"	Do you want to permanently remove the cape "
\" wirklich endgültig aus der Community entfernen?	" from the community?
PNG auswählen & bearbeiten	Select & edit PNG
Bild laden	Load image
Bild hochladen	Upload image
Bild aktiv	Image active
Bild entfernen (Pencil aktivieren)	Remove image (enable pencil)
Neues Bild	New image
+ Bild	+ Image
+ Hinzufügen	+ Add
ℹ Bild/GIF auf dieser Seite aktiv. Pencil ist hier pausiert.	ℹ Image/GIF active on this side. Pencil is paused here.
Pencil aktiv	Pencil active
Stiftgröße: 	Brush size: 
Zeichnung leeren	Clear drawing
Fläche füllen	Fill face
Auf alle Seiten anwenden	Apply to all sides
Farbe wählen	Choose color
Vorlagen:	Templates:
(Wähle ein Preset oder eigenes Bild)	(Choose a preset or custom image)
Ausschnitt	Crop
Ausschnitt zentrieren	Center crop
Animation wird vorbereitet …	Preparing animation…
Vorschau lädt …	Loading preview…
Vorschau wird geladen …	Loading preview…
Minecraft 64x32 Vollcape aktiv: Alle 6 Seiten werden 1:1 original gerendert.	Full 64x32 Minecraft cape active: all 6 sides render at their original size.
Grid an	Grid on
Grid aus	Grid off
Feuer	Fire
Gras	Grass
ODER	OR
🗑 Löschen	🗑 Delete
